EmployeeID,EFName,EMInitial,ELName,Phone,Email
108,James,,Borg,7894564859,notquitejamesbond@museum.org
272,Oscar,G,Piastri,1567434563,oscar.piastri@museum.org
347,Disha,,Shetty,4654371958,disha.shetty@museum.org
465,Barney,,Fife,7894651356,barney.fife@museum.org
531,Andrew,D,Taylor,1354867985,andrew.taylor@museum.org
689,Ananya,,Sankaran,5678941258,ananya.sankaran@museum.org
713,Zubiyaa,Z,Khan,3578967853,zubiyaa.khan@museum.org
824,Farah,F,Ahamed,8654359856,farah.ahamed@museum.org
956,Nidhi,,Santosh,1085261818,nidhi.santosh@museum.org
265,George,,Pig,7456324521,george.pig@museum.org
